Soil_Type,Soil_pH,Soil_Moisture,Organic_Carbon,Electrical_Conductivity,Temperature_C,Humidity,Rainfall_mm,Sunlight_Hours,Wind_Speed_kmh,Crop_Type,Crop_Growth_Stage,Season,Irrigation_Type,Water_Source,Field_Area_hectare,Mulching_Used,Previous_Irrigation_mm,Region,Irrigation_Need
0,0.39411764705882346,0.49964912280701745,0.09230769230769231,0.6088235294117647,0.32999999999999996,0.08842857142857141,0.4670569077065271,0.0014285714285714457,0.07538461538461538,5,3,1,2,2,0.3013605442176871,1,0.016337417687755273,3,0
3,0.473529411764706,0.7466666666666667,0.06153846153846154,0.03823529411764706,0.8166666666666665,0.014428571428571457,0.33245175668484506,0.96,0.8369230769230769,1,0,2,0,0,0.8108843537414967,1,0.2795698924731183,0,1
2,0.8558823529411765,0.5626315789473684,0.6076923076923078,0.611764705882353,0.9943333333333332,0.7344285714285712,0.7378316415330631,0.5357142857142856,0.9502564102564103,0,1,1,1,2,0.3551020408163265,1,0.2884054346920063,3,0
0,0.3411764705882354,0.08333333333333331,0.9692307692307692,0.08823529411764706,0.8406666666666666,0.26171428571428573,0.12238577847485907,0.7,0.561025641025641,5,2,0,0,2,0.07687074829931972,1,0.7002583979328165,2,1
0,0.8705882352941177,0.18561403508771923,0.4999999999999999,0.711764705882353,0.346,0.8777142857142857,0.7503070847553925,0.9128571428571428,0.5517948717948717,0,2,2,0,3,0.15102040816326534,0,0.5071267816954238,3,1
3,0.08823529411764697,0.2192982456140351,0.05384615384615388,0.3911764705882353,0.7113333333333335,0.5358571428571428,0.16106045268494104,0.43285714285714283,0.6692307692307692,3,2,2,3,0,0.4938775510204082,1,0.06093189964157706,1,1
2,0.7764705882352945,0.25789473684210523,0.22307692307692306,0.8382352941176471,0.5339999999999999,0.4785714285714286,0.30591243183118544,0.43999999999999995,0.3528205128205128,3,0,0,3,2,0.12789115646258506,0,0.4288572143035759,4,1
2,0.8470588235294119,0.565438596491228,0.24615384615384617,0.9411764705882353,0.7866666666666667,0.7728571428571427,0.33327198306732664,0.16714285714285715,0.16564102564102565,5,3,2,2,2,0.8326530612244898,1,0.9914145202967407,4,0
0,0.1823529411764706,0.5040350877192982,0.3384615384615385,0.4176470588235294,0.1529999999999999,0.7411428571428569,0.9905333872148714,0.9057142857142857,0.06666666666666668,1,0,0,3,1,0.9149659863945578,1,0.8938067850295907,0,0
1,0.4294117647058824,0.20315789473684204,0.046153846153846156,0.4617647058823529,0.638,0.7042857142857142,0.5898307932989505,0.647142857142857,0.881025641025641,3,3,1,2,2,0.06598639455782312,1,0.8160373426690005,0,1
0,0.16470588235294126,0.0675438596491228,0.9076923076923077,0.5911764705882353,0.7736666666666666,0.689857142857143,0.7776186227398763,0.17999999999999994,0.5471794871794872,3,0,0,0,3,0.8714285714285714,0,0.6195715595565557,2,2
0,0.7058823529411766,0.17140350877192978,0.5153846153846153,0.19705882352941176,0.7613333333333333,0.5154285714285713,0.55537728413042,0.56,0.6938461538461538,1,2,0,3,2,0.6863945578231293,1,0.12669834125197968,1,1
0,0.5352941176470589,0.9843859649122806,0.6692307692307692,0.9264705882352942,0.9636666666666666,0.9264285714285712,0.9832753840059856,0.3285714285714285,0.3323076923076923,4,0,0,3,2,0.3251700680272109,0,0.899141452029674,2,1
0,0.6352941176470588,0.4685964912280701,0.06923076923076926,0.4323529411764706,0.05833333333333329,0.8905714285714286,0.1772769284322473,0.14714285714285713,0.8071794871794871,5,1,0,0,3,0.2523809523809524,1,0.3597566058181212,1,0
3,0.19705882352941173,0.8673684210526316,0.05384615384615388,0.16764705882352943,0.3456666666666667,0.32942857142857146,0.6048909499021731,0.18142857142857138,0.3497435897435897,2,0,2,0,1,0.4054421768707483,0,0.1701258647995332,2,0
2,0.21176470588235285,0.8487719298245614,0.5846153846153846,0.7617647058823529,0.4766666666666667,0.8047142857142855,0.797452096778711,0.5585714285714285,0.029743589743589746,3,1,1,2,0,0.5993197278911565,0,0.13761773776777528,4,0
3,0.04117647058823537,0.5115789473684209,0.8846153846153845,0.22058823529411764,0.30966666666666665,0.891142857142857,0.6285774873865188,0.5642857142857143,0.3369230769230769,1,3,0,3,1,0.24081632653061227,0,0.8472951571226139,4,0
3,0.32352941176470607,0.7066666666666667,0.5307692307692308,0.14411764705882352,0.30966666666666665,0.6182857142857143,0.8970315807162778,0.7899999999999998,0.8502564102564101,3,0,0,0,2,0.8802721088435375,0,0.6347420188380428,3,1
3,0.5588235294117649,0.1928070175438596,0.8769230769230768,0.5617647058823529,0.17600000000000005,0.5555714285714286,0.6007217992165838,0.24857142857142855,0.8758974358974357,0,0,2,2,1,0.027891156462585033,0,0.1074435275485538,1,1
0,0.8588235294117648,0.6884210526315789,0.8076923076923078,0.6705882352941176,0.8130000000000001,0.6718571428571427,0.8265161184486918,0.9157142857142857,0.9348717948717948,3,2,2,0,2,0.07006802721088437,0,0.8484621155288822,3,0
1,0.6676470588235297,0.2724561403508772,0.07692307692307698,0.5705882352941176,0.908,0.16299999999999998,0.1756924911275512,0.5185714285714285,0.49948717948717947,2,2,0,0,1,0.47687074829931975,1,0.25531382845711426,2,1
2,0.43529411764705905,0.8321052631578947,0.20000000000000007,0.6558823529411765,0.08233333333333331,0.08728571428571424,0.2619843076689166,0.20428571428571418,0.9564102564102562,0,1,0,3,2,0.34285714285714286,0,0.5982328915562224,2,0
